Title,Publisher,Hero Name,Cosmic,Category
Batman: The Court of Owls Saga: DC Compact Comics Edition,DC,Batman,No,Batman
Batman: Hush: DC Compact Comics Edition,DC,Batman,No,Batman
Batman: One Bad Day Box Set,DC,Batman,No,Batman
Batman by Scott Snyder & Greg Capullo Omnibus Vol. 1,DC,Batman,No,Batman
Batman by Scott Snyder & Greg Capullo Omnibus Vol. 2,DC,Batman,No,Batman
Batman by Paul Dini Omnibus,DC,Batman,No,Batman
Batman: Knightfall Omnibus Vol. 1 (New Edition),DC,Batman,No,Batman
The Batman Box Set (The Long Halloween / Year One / Ego and Other Tails),DC,Batman,No,Batman
Detective Comics: 80 Years of Batman Deluxe Edition,DC,Batman,No,Batman
Gotham Central Omnibus (2022 edition),DC,Batman,No,Batman
Batman by Jeph Loeb & Tim Sale Omnibus,DC,Batman,No,Batman
The Batman Adventures Omnibus,DC,Batman,No,Batman
Batman: A Death in the Family,DC,Batman,No,Batman
Batgirl/Robin Year One,DC,Batman,No,Batman
Batman: Detective Comics Vol. 1: Mercy of the Father,DC,Batman,No,Batman
Batman: Dark Victory (New Edition),DC,Batman,No,Batman
Batman: Under the Red Hood: The Deluxe Edition,DC,Batman,No,Batman
Batman Vol. 1: Their Dark Designs,DC,Batman,No,Batman
Batman Vol. 2: The Joker War,DC,Batman,No,Batman
Batman Vol. 3: Ghost Stories,DC,Batman,No,Batman
Batman: Shadow War,DC,Batman,No,Batman
Batman: Arkham Asylum The Deluxe Edition,DC,Batman,No,Batman
Batman/The Flash: The Button Deluxe Edition,DC,Batman,No,Batman
Batman by Tom King Omnibus Vol. 1,DC,Batman,No,Batman
Batman & Robin By Tomasi and Gleason Omnibus (2023 Edition),DC,Batman,No,Batman
Batman: Mad Love and Other Stories,DC,Batman,No,Batman
Batman: Arkham Asylum: DC Compact Comics,DC,Batman,No,Batman
The Batman Who Laughs,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 1,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 2,DC,Batman,No,Batman
Batman by Grant Morrison Omnibus Vol. 3,DC,Batman,No,Batman
All-Star Superman: DC Compact Comics Edition,DC,Superman,No,Superman
Death and Return of Superman Omnibus (2022 edition),DC,Superman,No,Superman
Absolute Superman by Geoff Johns & Gary Frank,DC,Superman,No,Superman
Superman for All Seasons,DC,Superman,No,Superman
Superman: Action Comics Vol. 1: Warworld Rising,DC,Superman,No,Superman
Superman: Action Comics Vol. 2: The Arena,DC,Superman,No,Superman
Superman: Action Comics Vol. 3: Warworld Revolution,DC,Superman,No,Superman
Superman: Birthright: DC Compact Comics Edition,DC,Superman,No,Superman
Superman by Peter J. Tomasi & Patrick Gleason Omnibus,DC,Superman,No,Superman
Superman/Batman: DC Compact Comics Edition,DC,Superman,No,Superman
Superman: The Rebirth Deluxe Edition Book 1,DC,Superman,No,Superman
Superman: The Rebirth Deluxe Edition Book 2,DC,Superman,No,Superman
Wonder Woman: Earth One: DC Compact Comics Edition,DC,Wonder Woman,No,Wonder Woman
Wonder Woman By George Perez Vol. 1,DC,Wonder Woman,No,Wonder Woman
Wonder Woman: Blood and Guts: DC Compact Comics Edition,DC,Wonder Woman,No,Wonder Woman
Wonder Woman Historia: The Amazons,DC,Wonder Woman,No,Wonder Woman
The Flash by Mark Waid Omnibus Vol. 1,DC,Flash,No,Flash
The Flash by Joshua Williamson Omnibus Vol. 1,DC,Flash,No,Flash
Green Lantern by Geoff Johns Omnibus Vol. 1,DC,Green Lantern,Yes,Green Lantern
Green Lantern by Geoff Johns Omnibus Vol. 2,DC,Green Lantern,Yes,Green Lantern
Green Lantern by Geoff Johns Omnibus Vol. 3,DC,Green Lantern,Yes,Green Lantern
Green Lantern: Kyle Rayner Rising Compendium,DC,Green Lantern,Yes,Green Lantern
Green Arrow: Archer's Quest Omnibus Vol. 1,DC,Green Arrow,No,Green Arrow
Aquaman by Geoff Johns Omnibus,DC,Aquaman,No,Aquaman
Nightwing: A Knight in Bludhaven Compendium Book One,DC,Nightwing,No,Nightwing
Nightwing: The Prince of Gotham Omnibus (2025 Edition),DC,Nightwing,No,Nightwing
Nightwing: Rebirth Omnibus,DC,Nightwing,No,Nightwing
Nightwing by Tom Taylor and Bruno Redondo Omnibus Vol. 1,DC,Nightwing,No,Nightwing
Catwoman: Trail of the Catwoman: DC Compact Comics Edition,DC,Catwoman,No,Catwoman
The Question Omnibus by Dennis O'Neil and Denys Cowan Vol. 1,DC,The Question,No,The Question
Suicide Squad: The New 52 Omnibus,DC,Multiple,No,Suicide Squad
Suicide Squad Vol. 1: Trial by Fire,DC,Multiple,No,Suicide Squad
Teen Titans by Geoff Johns Omnibus (2022 edition),DC,Multiple,No,Teen Titans
Zatanna by Paul Dini (New Edition),DC,Zatanna,No,Zatanna
Supergirl: Woman of Tomorrow,DC,Supergirl,No,Supergirl
Harley Quinn & the Gotham City Sirens: DC Compact Comics Edition,DC,Harley Quinn,No,Harley Quinn
Joker: DC Compact Comics Edition,DC,Joker,No,Joker
Harley Quinn: Wild at Heart: DC Compact Comics Edition,DC,Harley Quinn,No,Harley Quinn
The Authority Omnibus (2025 Edition),DC,Multiple,No,The Authority
Deathstroke: The Terminator by Marv Wolfman Omnibus Vol. 1,DC,Deathstroke,No,Deathstroke
The Terrifics: The Complete Collection,DC,Multiple,No,The Terrifics
Birds of Prey Vol. 1: Megadeath,DC,Multiple,No,Birds of Prey
Birds of Prey Vol. 2: Worlds Without End,DC,Multiple,No,Birds of Prey
Birds of Prey Vol. 3: Bird Undercover,DC,Multiple,No,Birds of Prey
Booster Gold: The Complete 2007 Series Book One,DC,Booster Gold,No,Booster Gold
Secret Six by Gail Simone Omnibus Vol. 1,DC,Multiple,No,Secret Six
The Authority: Relentless: DC Compact Comics Edition,DC,Multiple,No,The Authority
DC Finest: Plastic Man: The Origin of Plastic Man,DC,Plastic Man,No,Plastic Man
Mister Miracle,DC,Mister Miracle,Yes,New Gods
Titans Vol. 1: Out of the Shadows,DC,Multiple,No,Titans
Titans Vol. 2: The Dark-Winged Queen,DC,Multiple,No,Titans
Titans Vol. 3: Hard Feelings,DC,Multiple,No,Titans
Titans: Beast World,DC,Multiple,No,Titans
Batwoman: Elegy: DC Compact Comics Edition,DC,Batwoman,No,Batwoman
Kingdom Come: DC Compact Comics Edition,DC,Multiple,No,Kingdom Come
DCeased: DC Compact Comics Edition,DC,Multiple,Yes,DCeased
DCeased Omnibus,DC,Multiple,Yes,DCeased
Far Sector: DC Compact Comics Edition,DC,Green Lantern,Yes,Green Lantern
Harleen,DC,Harley Quinn,No,Harley Quinn
DC Universe: Origins,DC,Multiple,No,DC Universe
The Animal Man Omnibus (2022 Edition),DC,Animal Man,No,Animal Man
Saga of the Swamp Thing Box Set,DC,Swamp Thing,No,Swamp Thing
DC: The New Frontier: DC Compact Comics Edition,DC,Multiple,No,DC New Frontier
Injustice 2 Omnibus,DC,Multiple,No,Injustice
Top 10 Compendium,DC,Multiple,No,Top 10
Sandman Expanded Edition Box Set,DC,Sandman,No,Sandman
Planetary Omnibus,DC,Multiple,No,Planetary
Doom Patrol Omnibus,DC,Multiple,No,Doom Patrol
Preacher: The 25th Anniversary Omnibus Vol. 1,DC,Multiple,No,Preacher
Preacher: The 25th Anniversary Omnibus Vol. 2,DC,Multiple,No,Preacher
Promethea: 20th Anniversary Deluxe Edition Book One,DC,Promethea,No,Promethea
Promethea: 20th Anniversary Deluxe Edition Book Two,DC,Promethea,No,Promethea
Promethea: 20th Anniversary Deluxe Edition Book Three,DC,Promethea,No,Promethea
Strange Adventures: The Deluxe Edition,DC,Multiple,No,Strange Adventures
Mister Miracle: The Deluxe Edition,DC,Mister Miracle,Yes,New Gods
John Constantine: Hellblazer by Jamie Delano Omnibus Vol. 1,DC,John Constantine,No,Hellblazer
Justice League: The New 52 Omnibus Vol. 1,DC,Multiple,Yes,Justice League
Justice League: The New 52 Omnibus Vol. 2,DC,Multiple,Yes,Justice League
Justice League: The Darkseid War (DC Essential Edition),DC,Multiple,Yes,Justice League
JLA: The Tower of Babel The Deluxe Edition,DC,Multiple,No,Justice League
JLA by Grant Morrison Omnibus,DC,Multiple,Yes,Justice League
Crisis on Infinite Earths: 35th Anniversary Deluxe Edition,DC,Multiple,Yes,Crisis Events
Infinite Crisis Omnibus (2020 Edition),DC,Multiple,Yes,Crisis Events
Final Crisis Omnibus (New Printing),DC,Multiple,Yes,Crisis Events
Zero Hour: A Crisis in Time,DC,Multiple,Yes,Crisis Events
Jack Kirbys Fourth World,DC,Multiple,Yes,New Gods
Identity Crisis 20th Anniversary Deluxe Edition,DC,Multiple,No,Crisis Events
Flashpoint: The 10th Anniversary Omnibus,DC,Multiple,No,Crisis Events
Forever Evil Omnibus,DC,Multiple,No,Crisis Events
Blackest Night Saga (DC Essential Edition),DC,Multiple,Yes,Crisis Events
Dark Nights: Metal Omnibus,DC,Multiple,Yes,Crisis Events
Doomsday Clock: The Complete Collection,DC,Multiple,No,Crisis Events
52 Omnibus (2022 edition),DC,Multiple,No,Crisis Events
DC One Million Omnibus,DC,Multiple,Yes,Crisis Events
Dark Nights: Death Metal Omnibus,DC,Multiple,Yes,Crisis Events
Dark Crisis on Infinite Earths,DC,Multiple,Yes,Crisis Events
Dark Crisis: Worlds without a Justice League,DC,Multiple,Yes,Crisis Events
Justice League Incarnate,DC,Multiple,Yes,Justice League
Justice League Dark: The New 52 Omnibus,DC,Multiple,Yes,Justice League Dark
Justice League Dark: Rebirth Omnibus,DC,Multiple,Yes,Justice League Dark
Tales from Dark Crisis,DC,Multiple,Yes,Crisis Events
Infinite Frontier,DC,Multiple,Yes,Crisis Events
52 Volume Two (New Edition),DC,Multiple,No,Crisis Events
Blackest Night Omnibus (10th Anniversary),DC,Multiple,Yes,Crisis Events
Brightest Day Omnibus (2022 Edition),DC,Multiple,Yes,Crisis Events
Countdown to Final Crisis Vol. 1,DC,Multiple,Yes,Crisis Events
Countdown to Final Crisis Vol. 2,DC,Multiple,Yes,Crisis Events
Countdown to Final Crisis Vol. 3,DC,Multiple,Yes,Crisis Events
Countdown to Final Crisis Vol. 4,DC,Multiple,Yes,Crisis Events
The OMAC Project (Countdown to Infinite Crisis),DC,Multiple,No,Crisis Events
Convergence,DC,Multiple,Yes,Crisis Events
Death of the New Gods,DC,Multiple,Yes,New Gods
Justice League by Scott Snyder and James Tynion IV Omnibus,DC,Multiple,Yes,Justice League
DC Comics Rebirth Omnibus Expanded Edition,DC,Multiple,No,Crisis Events
The New 52 Villains Omnibus,DC,Multiple,No,Villains
Absolute Power,DC,Multiple,No,Crisis Events
Absolute Power: Origins,DC,Multiple,No,Crisis Events
Absolute Power: Task Force VII,DC,Multiple,No,Crisis Events
All in Saga,DC,Multiple,No,Crisis Events
Amazing Spider-Man Epic Collection: Kraven's Last Hunt [New Printing],Marvel,Spider-Man,No,Spider-Man
Ultimate Spider-Man Omnibus Vol. 1 [New Printing],Marvel,Spider-Man,No,Spider-Man
Spider-Man By Roger Stern Omnibus [New Printing],Marvel,Spider-Man,No,Spider-Man
Spider-Verse/Spider-Geddon Omnibus,Marvel,Spider-Man,Yes,Spider-Man
Amazing Spider-Man Omnibus 1,Marvel,Spider-Man,No,Spider-Man
Spider-Man: Death of the Stacys (Marvel Premiere Classic),Marvel,Spider-Man,No,Spider-Man
Miles Morales: Spider-Man Omnibus Vol. 1,Marvel,Spider-Man,No,Spider-Man
Spider-Man/Deadpool Modern Era Epic Collection: Isn't It Bromantic,Marvel,Spider-Man,No,Spider-Man
Spider-Gwen: Ghost-Spider Modern Era Epic Collection: Edge of Spider-Verse,Marvel,Spider-Gwen,Yes,Spider-Man
Ultimate Spider-Man By Jonathan Hickman Vol. 1: Married With Children,Marvel,Spider-Man,No,Spider-Man
Ultimate Spider-Man By Jonathan Hickman Vol. 2: The Paper,Marvel,Spider-Man,No,Spider-Man
X-Men: Dark Phoenix Saga [New Printing 2],Marvel,X-Men,Yes,X-Men
X-Men: God Loves: Man Kills [New Printing],Marvel,X-Men,No,X-Men
House Of X/Powers Of X,Marvel,X-Men,Yes,X-Men
Fall Of The House Of X/Rise Of The Powers Of X,Marvel,X-Men,Yes,X-Men
House Of M Ultimate Edition,Marvel,X-Men,No,X-Men
New X-Men Omnibus [New Printing 3],Marvel,X-Men,No,X-Men
The Uncanny X-Men Omnibus Vol. 1,Marvel,X-Men,Yes,X-Men
The Uncanny X-Men Omnibus Vol. 2,Marvel,X-Men,Yes,X-Men
The Uncanny X-Men Omnibus Vol. 3 [New Printing],Marvel,X-Men,Yes,X-Men
Astonishing X-Men By Whedon & Cassaday Omnibus [New Printing],Marvel,X-Men,Yes,X-Men
X-Men The Age of Apocalypse Omnibus,Marvel,X-Men,Yes,X-Men
X-Men Epic Collection: Second Genesis [New Printing],Marvel,X-Men,Yes,X-Men
Uncanny X-Force By Rick Remender Omnibus Ribic Cover [New Printing 2],Marvel,X-Men,Yes,X-Men
All-New X-Men By Brian Michael Bendis Omnibus,Marvel,X-Men,No,X-Men
X-Men: Mutant Massacre Omnibus [New Printing],Marvel,X-Men,No,X-Men
X-Men: Mutant Massacre Prelude Omnibus Romita Jr. Cover,Marvel,X-Men,No,X-Men
All-New Wolverine Omnibus By Tom Taylor,Marvel,Wolverine,No,X-Men
X-Men/Avengers Onslaught Omnibus Marvel (2021 OOP),Marvel,X-Men,Yes,X-Men
House of M Omnibus Bendis Copiel Hardcover,Marvel,X-Men,No,X-Men
Avengers Vs. X-Men [New Printing],Marvel,Multiple,Yes,Avengers
Avengers By Jonathan Hickman Omnibus Vol. 1 [New Printing],Marvel,Avengers,Yes,Avengers
Avengers By Jonathan Hickman Omnibus Vol. 2 [New Printing],Marvel,Avengers,Yes,Avengers
Avengers By Busiek & Perez Omnibus Vol. 1 [New Printing],Marvel,Avengers,Yes,Avengers
Avengers By Busiek & Perez Omnibus Vol. 2 George Perez 25th Issue Cover [New Printing],Marvel,Avengers,Yes,Avengers
New Avengers Omnibus Vol. 1 David Finch Cover [New Printing],Marvel,Avengers,No,Avengers
Avengers Disassembled,Marvel,Avengers,No,Avengers
Avengers: The Kree-Skrull War,Marvel,Avengers,Yes,Avengers
Avengers: The Kang Dynasty Omnibus,Marvel,Avengers,Yes,Avengers
Avengers Epic Collection: Under Siege,Marvel,Avengers,No,Avengers
New Avengers: Illuminati,Marvel,Multiple,Yes,Avengers
Fantastic Four Epic Collection: The Coming Of Galactus [New Printing 2],Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four By Jonathan Hickman: The Complete Collection Vol. 1,Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four By Jonathan Hickman Omnibus Vol. 1 [New Printing],Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four By Waid & Wieringo Omnibus Wieringo First Issue Cover [New Printing],Marvel,Fantastic Four,Yes,Fantastic Four
The Fantastic Four Omnibus 2,Marvel,Fantastic Four,Yes,Fantastic Four
The Fantastic Four Omnibus Vol. 1 Alex Ross Cover [New Printing 3],Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four By Jonathan Hickman: The Complete Collection Vol. 3,Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four By Jonathan Hickman: The Complete Collection Vol. 4,Marvel,Fantastic Four,Yes,Fantastic Four
Fantastic Four: Solve Everything [Marvel Premier Collection],Marvel,Fantastic Four,Yes,Fantastic Four
Ultimate Fantastic Four Omnibus Vol. 1 Stuart Immonen Cover,Marvel,Fantastic Four,Yes,Fantastic Four
Deadpool: Bad Blood,Marvel,Deadpool,No,Deadpool
Deadpool: Badder Blood,Marvel,Deadpool,No,Deadpool
Deadpool Kills the Marvel Universe,Marvel,Deadpool,No,Deadpool
Deadpool by Posehn & Duggan Omnibus,Marvel,Deadpool,No,Deadpool
Deadpool Beginnings,Marvel,Deadpool,No,Deadpool
Deadpool & Cable Omnibus [New Printing],Marvel,Deadpool,No,Deadpool
Deadpool Epic Collection: Mission Improbable,Marvel,Deadpool,No,Deadpool
Gwenpool Omnibus,Marvel,Gwenpool,No,Deadpool
Daredevil: Born Again,Marvel,Daredevil,No,Daredevil
Daredevil: The Man Without Fear,Marvel,Daredevil,No,Daredevil
Daredevil Epic Collection: A Touch Of Typhoid [New Printing],Marvel,Daredevil,No,Daredevil
Daredevil By Bendis & Maleev Omnibus Vol. 1 Maleev Cover [New Printing 2],Marvel,Daredevil,No,Daredevil
Daredevil By Bendis & Maleev Omnibus Vol. 2 Alex Maleev Cover [New Printing 2],Marvel,Daredevil,No,Daredevil
Daredevil By Frank Miller Omnibus Companion [New Printing 2],Marvel,Daredevil,No,Daredevil
Daredevil: Shadowland Omnibus Cassaday Cover [New Printing],Marvel,Daredevil,No,Daredevil
Daredevil By Chip Zdarsky Omnibus Vol. 1 Tedesco Cover,Marvel,Daredevil,No,Daredevil
Daredevil By Chip Zdarsky Omnibus Vol. 2 Rafael De Latorre Cover,Marvel,Daredevil,No,Daredevil
Moon Knight By Lemire & Smallwood: The Complete Collection,Marvel,Moon Knight,No,Moon Knight
Moon Knight Epic Collection: Shadows Of The Moon [New Printing],Marvel,Moon Knight,No,Moon Knight
Moon Knight By Jed MacKay Omnibus Greg Capullo Cover,Marvel,Moon Knight,No,Moon Knight
Hulk: Planet Hulk Omnibus [New Printing],Marvel,Hulk,Yes,Hulk
Hulk: World War Hulk Omnibus [New Printing],Marvel,Hulk,Yes,Hulk
Immortal Hulk Omnibus,Marvel,Hulk,No,Hulk
Thor By Walter Simonson Omnibus Simonson Thor & Balder The Brave Cover [New Printing 2],Marvel,Thor,Yes,Thor
Captain America: Return Of The Winter Soldier Omnibus [New Printing],Marvel,Captain America,No,Captain America
Black Panther By Reginald Hudlin Omnibus John Romita Jr. Cover,Marvel,Black Panther,No,Black Panther
Hawkeye By Fraction & Aja Omnibus [New Printing],Marvel,Hawkeye,No,Hawkeye
Ms. Marvel Omnibus: Volume 1,Marvel,Ms. Marvel,No,Ms. Marvel
The Sentry [New Printing 2],Marvel,Sentry,Yes,Sentry
Immortal Iron Fist & The Immortal Weapons Omnibus,Marvel,Iron Fist,No,Iron Fist
Thor By Jason Aaron Omnibus Vol. 1,Marvel,Thor,Yes,Thor
Thor By Jason Aaron Omnibus Vol. 2,Marvel,Thor,Yes,Thor
The Mighty Thor by Walter Simonson 1,Marvel,Thor,Yes,Thor
Captain America Omnibus Vol. 1,Marvel,Captain America,No,Captain America
Captain America Epic Collection: Dawn's Early Light,Marvel,Captain America,No,Captain America
Iron Man: Demon in a Bottle,Marvel,Iron Man,No,Iron Man
Invincible Iron Man Vol. 1: The Five Nightmares,Marvel,Iron Man,No,Iron Man
Invincible Iron Man Vol. 2: World's Most Wanted Book 1,Marvel,Iron Man,No,Iron Man
The Life and Death of Captain Marvel,Marvel,Captain Marvel,Yes,Captain Marvel
Thor By Cates & Klein Omnibus Nic Klein Thor Solo Cover,Marvel,Thor,Yes,Thor
Black Panther: A Nation Under Our Feet [Marvel Premier Collection],Marvel,Black Panther,No,Black Panther
Captain America: The Winter Soldier [Marvel Premier Collection],Marvel,Captain America,No,Captain America
Superior Iron Man 1: Infamous,Marvel,Iron Man,No,Iron Man
Superior Iron Man 2: Stark Contrast,Marvel,Iron Man,No,Iron Man
Infinity Gauntlet,Marvel,Multiple,Yes,Cosmic Events
Silver Surfer Epic Collection: Thanos Quest,Marvel,Silver Surfer,Yes,Cosmic Events
Secret Wars,Marvel,Multiple,Yes,Cosmic Events
Secret Wars By Jonathan Hickman Omnibus Alex Ross Reed Richards Cover,Marvel,Multiple,Yes,Cosmic Events
Secret Wars: Battleworld Omnibus Vol. 1 Jim Cheung Cover,Marvel,Multiple,Yes,Cosmic Events
Secret Wars II [New Printing],Marvel,Multiple,Yes,Cosmic Events
Civil War,Marvel,Multiple,No,Marvel Events
Civil War II - Vol. 1-8,Marvel,Multiple,No,Marvel Events
Siege,Marvel,Multiple,No,Marvel Events
War Of The Realms Omnibus [New Printing],Marvel,Multiple,Yes,Marvel Events
Secret Invasion,Marvel,Multiple,Yes,Marvel Events
Secret Invasion Omnibus,Marvel,Multiple,Yes,Marvel Events
Infinity,Marvel,Multiple,Yes,Cosmic Events
Original Sin,Marvel,Multiple,No,Marvel Events
Inferno,Marvel,X-Men,No,X-Men
Dark Ages,Marvel,Multiple,No,Marvel Events
Blood Hunt,Marvel,Multiple,No,Marvel Events
King In Black Omnibus,Marvel,Multiple,Yes,Cosmic Events
Devil's Reign Omnibus,Marvel,Multiple,No,Marvel Events
Judgment Day Omnibus,Marvel,Multiple,Yes,Marvel Events
Ultimate Invasion,Marvel,Multiple,No,Ultimate Universe
Silver Surfer: Rebirth of Thanos [New Printing],Marvel,Silver Surfer,Yes,Cosmic Events
Marvel Must-Have: Silver Surfer - Requiem,Marvel,Silver Surfer,Yes,Cosmic Events
Annihilation: Conquest Omnibus Aleksi Briclot Cover [New Printing 2],Marvel,Multiple,Yes,Cosmic Events
Annihilation Omnibus [New Printing 3],Marvel,Multiple,Yes,Cosmic Events
Fear Itself,Marvel,Multiple,Yes,Marvel Events
Infinity War,Marvel,Multiple,Yes,Cosmic Events
Infinity Crusade Vol. 1,Marvel,Multiple,Yes,Cosmic Events
Infinity Crusade Vol. 2,Marvel,Multiple,Yes,Cosmic Events
Heroes Reborn: America's Mightiest Heroes Omnibus,Marvel,Multiple,No,Heroes Reborn
Heroes Reborn Omnibus (Marvel: 2019) by Jim Lee: Rob Liefeld: and Whilce Port,Marvel,Multiple,No,Heroes Reborn
Heroes Reborn The Return Omnibus,Marvel,Multiple,No,Heroes Reborn
Ultimate Marvel By Jonathan Hickman Omnibus,Marvel,Multiple,No,Ultimate Universe
Ultimatum Premium Hardcover,Marvel,Multiple,No,Ultimate Universe
Age of Ultron (Hardcover),Marvel,Multiple,No,Marvel Events
Punisher Max By Garth Ennis Omnibus Vol. 1 Bradstreet Cover [New Printing],Marvel,Punisher,No,Punisher
Punisher By Rick Remender Omnibus Mike Mckone Cover [New Printing],Marvel,Punisher,No,Punisher
Venom/Venomnibus By Cates & Stegman,Marvel,Venom,No,Venom
Doctor Strange: Master Of The Mystic Arts Omnibus Vol. 1 Frank Brunner Doctor Strange & Clea Cover,Marvel,Doctor Strange,Yes,Doctor Strange
Doctor Doom: Books Of Doom,Marvel,Doctor Doom,No,Doctor Doom
Ghost Rider: Danny Ketch Omnibus Vol. 1 Mark Texeira Cover,Marvel,Ghost Rider,No,Ghost Rider
Ghost Rider By Jason Aaron Omnibus [New Printing],Marvel,Ghost Rider,No,Ghost Rider
Wolverine By Jason Aaron Omnibus Vol. 1 David Finch Cover [New Printing],Marvel,Wolverine,No,Wolverine
Wolverine by Claremont & Miller (Marvel Premiere Classic),Marvel,Wolverine,No,Wolverine
Wolverine: Weapon X [New Printing 2],Marvel,Wolverine,No,Wolverine
Elektra: Assassin,Marvel,Elektra,No,Elektra
Punisher: Welcome Back: Frank [New Printing 2],Marvel,Punisher,No,Punisher
Cosmic Ghost Rider By Donny Cates,Marvel,Ghost Rider,Yes,Ghost Rider
Guardians Of The Galaxy By Brian Michael Bendis Omnibus Vol. 1 [New Printing],Marvel,Guardians of the Galaxy,Yes,Cosmic
Squadron Supreme,Marvel,Squadron Supreme,No,Squadron Supreme
Eternals By Kieron Gillen,Marvel,Eternals,Yes,Eternals
Inhumans,Marvel,Inhumans,Yes,Inhumans
Kang The Conqueror: Only Myself Left To Conquer,Marvel,Kang,Yes,Kang
Kang: The Saga Of The Once And Future Conqueror,Marvel,Kang,Yes,Kang
Ultimates By Millar & Hitch Omnibus [New Printing 2: Gatefold],Marvel,Multiple,No,Ultimate Universe
Ultimates By Deniz Camp Vol. 1: Fix The World,Marvel,Multiple,No,Ultimate Universe
Ultimate Comics Doomsday,Marvel,Multiple,No,Ultimate Universe
Secret Warriors Omnibus [New Printing],Marvel,Multiple,No,Secret Warriors
Guardians Of The Galaxy By Donny Cates,Marvel,Guardians of the Galaxy,Yes,Cosmic
Thanos Wins By Donny Cates,Marvel,Thanos,Yes,Thanos
Thanos Vol. 2: The God Quarry,Marvel,Thanos,Yes,Thanos
Thunderbolts Ultimate Collection,Marvel,Multiple,No,Thunderbolts
Dark Avengers Modern Era Epic Collection: Osborn's Reign,Marvel,Multiple,No,Dark Avengers
Hellboy Omnibus Boxed Set,Independent,Hellboy,No,Hellboy
Something is Killing the Children Vol. 1,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 2,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 3,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 4,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 5,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 6,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 7,Independent,Multiple,No,Horror
Something is Killing the Children Vol. 8,Independent,Multiple,No,Horror
Teenage Mutant Ninja Turtles: The Last Ronin,Independent,TMNT,No,TMNT
Teenage Mutant Ninja Turtles: The Last Ronin--Lost Years,Independent,TMNT,No,TMNT
Teenage Mutant Ninja Turtles: The Last Ronin II--Re-Evolution,Independent,TMNT,No,TMNT
Bloodborne: 1-3 Slipcase Set (Graphic Novel),Independent,Multiple,No,Horror
Marvels: The Remastered Edition,Marvel,Multiple,No,Marvel History
Invincible Ultimate Collection Vol. 1,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 2,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 3,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 4,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 5,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 6,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 7,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 8,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 9,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 10,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 11,Independent,Invincible,No,Invincible
Invincible Ultimate Collection Vol. 12,Independent,Invincible,No,Invincible
History Of The Marvel Universe,Marvel,Multiple,Yes,Marvel History